"","vote16","protest","vote20jb","vote20bs","apppres7","econpres7","covidpres7","healthcarepres7","dtleader1","dtleader2","econnow","confecon","taxecon","hlthcare2","covid1","covid2","covid_elect","impeach1","impeach2","inc_anes","inc_cpsmod"
"86",1,0,1,1,2,1,2,77,2,77,2,3,4,1,4,1,2,7,1,66,4
"87",1,0,1,1,3,2,3,77,2,77,4,3,2,4,3,2,2,7,2,66,10
"88",2,0,2,2,3,2,7,77,5,77,2,2,2,2,2,2,1,3,3,5,66
"89",1,0,1,1,2,3,2,77,2,77,3,3,4,2,2,2,3,6,2,66,66
"90",3,0,2,2,7,6,7,77,5,77,4,5,4,2,1,1,3,1,7,10,66
"91",2,1,2,2,7,6,7,77,5,77,5,5,7,3,4,1,2,1,7,66,21
"92",4,0,3,3,6,6,6,77,5,77,2,4,4,3,1,1,3,5,6,66,1
"93",2,0,2,2,7,4,6,77,5,77,4,4,6,4,2,1,3,2,7,66,5
"94",2,0,2,2,7,7,7,77,5,77,5,5,7,3,3,1,3,1,7,16,66
"95",4,0,4,4,4,4,4,77,3,77,3,3,4,3,3,3,2,4,4,66,5
"96",1,0,1,1,1,1,1,77,1,77,5,3,1,1,5,3,2,7,1,66,66
"97",2,0,2,2,6,6,6,77,5,77,5,5,5,2,3,1,2,1,7,66,11
"98",1,0,1,1,1,1,1,77,1,77,5,1,1,1,5,5,2,7,1,66,66
"99",4,0,2,2,7,7,7,77,5,77,5,5,4,2,1,1,3,1,7,66,66
"100",4,0,4,4,7,7,7,77,5,77,4,3,3,1,4,2,2,4,7,1,66
"101",2,0,2,2,7,7,7,77,5,77,5,5,7,5,1,1,2,1,7,66,66
"102",1,0,1,1,3,3,3,77,3,77,4,3,3,2,3,2,2,3,3,66,66
"103",1,0,1,1,6,3,5,77,4,77,5,4,3,2,1,1,2,5,2,21,66
"104",2,0,2,2,6,3,3,77,5,77,4,3,4,1,4,4,3,2,6,66,4
"105",2,0,2,2,6,6,6,77,5,77,4,3,5,2,3,2,2,1,7,24,66
"106",1,0,1,1,1,1,1,77,1,77,1,5,7,5,1,1,1,7,1,66,26
"107",1,0,1,1,2,1,2,77,1,77,2,3,4,2,4,3,2,7,1,5,66
